WL,Sun,Shade
581,6.8925915058,0.1382564408
582,6.915534577,0.1380620573
583,6.939192114,0.137705108
584,6.9320161558,0.1372640158
585,6.9052178769,0.1361441803
586,6.8786955352,0.1348032269
587,6.830255317,0.1328396873
588,6.761552366,0.1308269731
589,6.704563044,0.129002432
590,6.6469513024,0.1273193418
591,6.6270081898,0.1262272839
592,6.6268976969,0.1256578766
593,6.6530900285,0.1254964933
594,6.6969232091,0.125849038
595,6.730118024,0.1261877426
596,6.7767279245,0.1264914079
597,6.800928204,0.1268715217
598,6.8254792664,0.1269337901
599,6.8546472379,0.1271145774
600,6.8676826897,0.1269206192
601,6.8971331322,0.1271290944
602,6.9171658416,0.1272470528
603,6.9351602125,0.1273694193
604,6.9602356538,0.127488474
605,6.9898008887,0.1274408164
606,7.0012561972,0.127344776
607,7.0058446848,0.1267496586
608,6.9993431718,0.12614559
609,6.9930357636,0.1253238027
610,6.9843246591,0.1244114156
611,6.9642064569,0.1234434682
612,6.9582181379,0.1225513002
613,6.9399640421,0.1214778866
614,6.9310886621,0.1206905916
615,6.9224628114,0.1199781053
616,6.9225682286,0.1193443049
617,6.9179098004,0.1187956036
618,6.9317424751,0.1185828168
619,6.9573114048,0.1184492191
620,6.9642248564,0.1181895654
621,6.9782991377,0.117878178
622,6.9734175401,0.1173533752
623,6.964101907,0.116768885
624,6.9592560926,0.1160508475
625,6.9379738412,0.1151990487
626,6.9211616721,0.1144669633
627,6.9087943844,0.1137793263
628,6.8869587405,0.1131752084
629,6.874413488,0.1129147501
630,6.8857529752,0.1125603448
631,6.8943412836,0.1122656784
632,6.9129086804,0.1123201455
633,6.9215762748,0.1122565412
634,6.9448599975,0.1124544541
635,6.960999646,0.1126526418
636,6.9871122436,0.1126671602
637,7.0083349604,0.1126433474
638,7.0394205061,0.1126070007
639,7.060744135,0.112209485
640,7.0475644427,0.1118646543
641,7.0466643136,0.1113177072
642,7.0455479994,0.1106488078
643,7.0445400952,0.1099049499
644,7.0230723564,0.1089447486
645,7.0091622519,0.10802231
646,6.9847227944,0.1068098682
647,6.9600134186,0.1056851517
648,6.9427431304,0.1046309474
649,6.9044484365,0.1036063749
650,6.8916638084,0.1029479434
651,6.8943362388,0.1023397801
652,6.8834908747,0.1015974064
653,6.8519955352,0.1009065203
654,6.8173734141,0.099804624
655,6.7663886344,0.0988232692
656,6.7331784588,0.0979455938
657,6.7183568271,0.0974422619
658,6.7546547829,0.0975218475
659,6.8231422316,0.0979693398
660,6.9006533572,0.0987989842
661,6.9812495886,0.0995456374
662,7.0627469319,0.1002610701
663,7.1145189636,0.1004084805
664,7.1669498351,0.1004366524
665,7.2056967741,0.1001823222
666,7.2170373486,0.099876723
667,7.2281414397,0.0994410555
668,7.2337319536,0.0990676105
669,7.2248622058,0.0985572058
670,7.2188404633,0.0981929994
671,7.2067322835,0.0977129212
672,7.2204204852,0.0973662147
673,7.219647634,0.0969826031
674,7.2247255519,0.0966755487
675,7.2236178333,0.0965262471
676,7.237321591,0.0963848957
677,7.2449722645,0.0962780241
678,7.2497245797,0.0961001832
679,7.2491614013,0.0965024942
680,7.2481412251,0.0963624602
681,7.2411020064,0.0961180943
682,7.2107649131,0.0957345976
683,7.1533829404,0.0951079746
684,7.0661712711,0.0940635089
685,6.9422896438,0.0927774412
686,6.8026548624,0.0913051858
687,6.6618990607,0.0897942555
688,6.5402186009,0.0890096082
689,6.4605008904,0.0886408606
690,6.4516656627,0.0896371216
691,6.4580431521,0.0911336833
692,6.506976392,0.0935175126
693,6.5748081655,0.0963046562
694,6.6338297176,0.0994250028
695,6.6841593745,0.1028118736
696,6.7223798291,0.1063549582
697,6.7697624203,0.1100059239
698,6.7864539358,0.1136667844
699,6.7907090477,0.1175217686
700,6.8038654599,0.1216713783
701,6.8016553556,0.1258943488
702,6.8147042999,0.1306858359
703,6.8384302167,0.1356714966
704,6.8710105808,0.1413477913
705,6.9301367066,0.1476084892
706,6.966736024,0.1543490355
707,7.0142475166,0.161041704
708,7.0484307076,0.1681278554
709,7.0692714317,0.1751428273
710,7.0937834881,0.1817948992
711,7.1015650994,0.1888536114
712,7.0921985803,0.1954573661
713,7.0382238237,0.201379758
714,6.9526495613,0.2063921733
715,6.8131001435,0.2095750732
716,6.6038619837,0.2110351219
717,6.4072947212,0.2120399184
718,6.1896106992,0.2131328212
719,6.0269718919,0.2163240855
720,5.927427764,0.2226121053
721,5.8879726501,0.2306439035
722,5.8947323568,0.241558106
723,5.9414610335,0.2529875264
724,5.9814567326,0.2650577461
725,6.009236464,0.276595476
726,6.0201462749,0.2880067357
727,6.0275879281,0.2995575297
728,6.0498287124,0.3122925997
729,6.104736497,0.326745711
730,6.1807736566,0.3435519245
731,6.290810907,0.3631972142
732,6.4305581598,0.3838529484
733,6.5962858773,0.4052904847
734,6.7501801276,0.427777677
735,6.8656782272,0.4481706421
736,6.9695587384,0.4678185641
737,7.0564794895,0.4855474651
738,7.1105734923,0.5019364428
739,7.1546498462,0.5164805622
740,7.1884155012,0.5311743398
741,7.2357440514,0.5453861215
742,7.2845212851,0.5601457407
743,7.3296215588,0.5743210674
744,7.3895816171,0.5894095123
745,7.4490452778,0.6028952942
746,7.495774432,0.6150682085
747,7.5369895157,0.627068828
748,7.5452480705,0.6382168529
749,7.5678710886,0.6479343294
750,7.6173340344,0.6569940488
751,7.6340146716,0.6657470929
752,7.649962723,0.673452579
753,7.6640677848,0.6796027328
754,7.6275223219,0.6838961595
755,7.5838055679,0.6836306462
756,7.4483257424,0.6755394986
757,7.1789143403,0.6547306046
758,6.7763201709,0.6203552713
759,6.2607933269,0.5746691293
760,5.6678839754,0.5228895407
761,5.1265800497,0.4748734146
762,4.7191199093,0.4394904421
763,4.533158112,0.4242291067
764,4.5792989435,0.4306916686
765,4.8599003424,0.4582913004
766,5.2842869415,0.5011636851
767,5.7988680643,0.5506257801
768,6.2606776581,0.5978296339
769,6.6782396003,0.6398794079
770,7.010019674,0.6731898925
771,7.2367881497,0.6973646254
772,7.3874185928,0.7138880634
773,7.4581378054,0.7241267632
774,7.5074068954,0.7301672659
775,7.5293032914,0.734994171
776,7.5336946058,0.7368190952
777,7.5255415796,0.7391078844
778,7.5244518727,0.7388880508
779,7.5421287147,0.7408930826
780,7.5410221242,0.7440767049
781,7.5399894052,0.7453503316
782,7.5239407267,0.7454330057
783,7.537417904,0.7459709201
784,7.5290029948,0.7456528282
785,7.491815578,0.7444449558
786,7.4702933068,0.7427677223
787,7.4513984486,0.741215104
788,7.4098048224,0.7372438435
789,7.3508842572,0.7335159161
790,7.3154882449,0.7301003423
791,7.2674267164,0.7266663577
792,7.2185980166,0.722230924
793,7.1899064573,0.720832227
794,7.1857358256,0.7219958279
795,7.1895843759,0.7231307882
796,7.1725110429,0.7237076756
797,7.1691519748,0.7246957843
798,7.1855317395,0.7263452667
799,7.1805288737,0.7269817907
800,0.726358673,0.726358673
