Sample ID,ng/ul,260/280,260/230
1,219.3,2.11,2.24
2,221.63,2.13,2.21
3,304.06,2.14,2.3
4,245.58,2.09,2.26
5,226.52,2.14,2.27
6,252.54,2.13,2.31
7,247.8,2.13,2.25
8,233.89,2.12,2.14
9,93.51,2.07,2.07
10,368.01,2.12,1.89
11,227.65,2.13,1.08
12,228.26,2.12,2.27
13,192.94,2.1,2.23
14,231.9,2.14,2.32
15,95.87,2.07,2
16,231.6,2.12,2.3
17,147.87,2.12,2.21
18,215.89,2.13,2.12
