Index,(2)A1:Size (bp),(2)A1:Intensity (mV),(3)B1:Size (bp),(3)B1:Intensity (mV),(4)C1:Size (bp),(4)C1:Intensity (mV),(5)D1:Size (bp),(5)D1:Intensity (mV)
2183,26.66,0.11,27.28,0.01,27.70,0.03,27.47,0.00
2184,26.77,0.07,27.40,0.02,27.81,0.06,27.58,0.00
2185,26.88,0.05,27.51,0.01,27.93,0.07,27.70,0.00
2186,26.99,0.00,27.62,0.00,28.05,0.02,27.81,0.00
2187,27.10,0.00,27.73,0.03,28.16,0.04,27.93,0.00
2188,27.21,0.01,27.84,0.05,28.28,0.06,28.04,0.00
2189,27.33,0.01,27.96,0.05,28.40,0.08,28.16,0.00
2190,27.44,0.02,28.07,0.07,28.51,0.09,28.27,0.00
2191,27.55,0.04,28.18,0.05,28.63,0.07,28.39,0.00
2192,27.66,0.10,28.30,0.06,28.75,0.08,28.51,0.00
2193,27.77,0.06,28.41,0.07,28.86,0.06,28.62,0.00
2194,27.88,0.07,28.52,0.03,28.98,0.02,28.74,0.00
2195,27.99,0.07,28.64,0.04,29.10,0.00,28.86,0.00
2196,28.11,0.08,28.75,0.06,29.22,0.00,28.97,0.01
2197,28.22,0.07,28.86,0.08,29.33,0.00,29.09,0.01
2198,28.33,0.09,28.98,0.09,29.45,0.02,29.21,0.00
2199,28.44,0.09,29.09,0.08,29.57,0.05,29.32,0.00
2200,28.56,0.12,29.21,0.09,29.69,0.03,29.44,0.00
2201,28.67,0.06,29.32,0.07,29.81,0.02,29.56,0.00
2202,28.78,0.04,29.44,0.03,29.92,0.02,29.68,0.01
2203,28.89,0.05,29.55,0.00,30.04,0.02,29.80,0.01
2204,29.01,0.05,29.66,0.00,30.16,0.02,29.91,0.01
2205,29.12,0.04,29.78,0.01,30.28,0.02,30.03,0.00
2206,29.23,0.05,29.90,0.03,30.40,0.02,30.15,0.04
2207,29.35,0.04,30.01,0.04,30.52,0.00,30.27,0.01
2208,29.46,0.06,30.13,0.00,30.64,0.02,30.39,0.04
2209,29.57,0.07,30.24,0.00,30.76,0.02,30.51,0.01
2210,29.69,0.07,30.36,0.00,30.88,0.02,30.63,0.01
2211,29.80,0.12,30.47,0.00,31.00,0.03,30.75,0.00
2212,29.92,0.09,30.59,0.01,31.12,0.03,30.87,0.01
2213,30.03,0.08,30.71,0.02,31.24,0.04,30.98,0.05
2214,30.15,0.05,30.82,0.03,31.36,0.05,31.10,0.07
2215,30.26,0.06,30.94,0.04,31.48,0.08,31.22,0.07
2216,30.38,0.05,31.06,0.05,31.60,0.09,31.34,0.02
2217,30.49,0.06,31.17,0.12,31.72,0.09,31.46,0.03
2218,30.61,0.05,31.29,0.08,31.84,0.09,31.59,0.05
2219,30.72,0.07,31.41,0.10,31.97,0.07,31.71,0.03
2220,30.84,0.08,31.53,0.09,32.09,0.07,31.83,0.00
2221,30.95,0.09,31.64,0.11,32.21,0.09,31.95,0.00
2222,31.07,0.11,31.76,0.12,32.33,0.10,32.07,0.00
2223,31.18,0.14,31.88,0.12,32.45,0.10,32.19,0.00
2224,31.30,0.10,32.00,0.11,32.57,0.07,32.31,0.00
2225,31.42,0.09,32.11,0.10,32.70,0.08,32.43,0.00
2226,31.53,0.08,32.23,0.11,32.82,0.06,32.55,0.02
2227,31.65,0.08,32.35,0.12,32.94,0.07,32.68,0.04
2228,31.77,0.07,32.47,0.12,33.06,0.05,32.80,0.00
2229,31.88,0.06,32.59,0.13,33.19,0.06,32.92,0.01
2230,32.00,0.08,32.71,0.13,33.31,0.07,33.04,0.07
2231,32.12,0.09,32.83,0.14,33.43,0.10,33.17,0.09
2232,32.24,0.11,32.95,0.15,33.56,0.12,33.29,0.10
2233,32.35,0.14,33.07,0.17,33.68,0.17,33.41,0.11
2234,32.47,0.08,33.19,0.10,33.81,0.16,33.53,0.12
2235,32.59,0.10,33.30,0.10,33.93,0.20,33.66,0.13
2236,32.71,0.15,33.42,0.14,34.05,0.17,33.78,0.14
2237,32.82,0.12,33.54,0.17,34.18,0.18,33.90,0.16
2238,32.94,0.14,33.66,0.20,34.30,0.18,34.03,0.08
2239,33.06,0.19,33.79,0.27,34.43,0.20,34.15,0.10
2240,33.18,0.18,33.91,0.30,34.55,0.26,34.28,0.08
2241,33.30,0.24,34.03,0.33,34.68,0.29,34.40,0.09
2242,33.42,0.30,34.15,0.35,34.80,0.32,34.52,0.15
2243,33.54,0.30,34.27,0.38,34.93,0.34,34.65,0.20
2244,33.66,0.31,34.39,0.41,35.05,0.36,34.77,0.16
2245,33.77,0.32,34.51,0.44,35.18,0.37,34.90,0.17
2246,33.89,0.33,34.63,0.49,35.30,0.37,35.02,0.18
2247,34.01,0.34,34.75,0.47,35.43,0.40,35.15,0.22
2248,34.13,0.41,34.87,0.49,35.56,0.48,35.27,0.20
2249,34.25,0.39,35.00,0.57,35.68,0.51,35.40,0.23
2250,34.37,0.38,35.12,0.62,35.81,0.49,35.52,0.21
2251,34.49,0.45,35.24,0.68,35.93,0.54,35.65,0.25
2252,34.61,0.46,35.36,0.70,36.06,0.58,35.78,0.26
2253,34.73,0.53,35.49,0.78,36.19,0.56,35.90,0.34
2254,34.86,0.57,35.61,0.80,36.31,0.61,36.03,0.39
2255,34.98,0.63,35.73,0.88,36.44,0.65,36.16,0.45
2256,35.10,0.70,35.85,0.99,36.57,0.76,36.28,0.51
2257,35.22,0.77,35.98,1.02,36.70,0.80,36.41,0.62
2258,35.34,0.87,36.10,1.16,36.82,0.94,36.54,0.70
2259,35.46,0.94,36.22,1.23,36.95,1.05,36.66,0.83
2260,35.58,1.01,36.35,1.29,37.08,1.11,36.79,0.93
2261,35.70,1.12,36.47,1.38,37.21,1.26,36.92,1.03
2262,35.83,1.19,36.60,1.54,37.34,1.44,37.04,1.13
2263,35.95,1.28,36.72,1.68,37.47,1.57,37.17,1.30
2264,36.07,1.40,36.84,1.82,37.59,1.75,37.30,1.50
2265,36.19,1.45,36.97,2.03,37.72,1.98,37.43,1.70
2266,36.31,1.58,37.09,2.30,37.85,2.23,37.56,1.93
2267,36.44,1.72,37.22,2.61,37.98,2.51,37.68,2.12
2268,36.56,1.77,37.34,2.92,38.11,2.80,37.81,2.37
2269,36.68,1.88,37.47,3.29,38.24,3.21,37.94,2.63
2270,36.81,2.02,37.59,3.75,38.37,3.63,38.07,2.87
2271,36.93,2.11,37.72,4.24,38.50,4.14,38.20,3.25
2272,37.05,2.29,37.84,4.81,38.63,4.60,38.33,3.66
2273,37.18,2.50,37.97,5.39,38.76,5.21,38.46,4.11
2274,37.30,2.79,38.09,6.01,38.89,5.85,38.59,4.59
2275,37.42,3.09,38.22,6.79,39.02,6.60,38.72,5.15
2276,37.55,3.52,38.35,7.75,39.15,7.34,38.85,5.82
2277,37.67,4.08,38.47,8.84,39.28,8.21,38.98,6.50
2278,37.80,4.67,38.60,10.04,39.41,9.11,39.11,7.37
2279,37.92,5.30,38.72,11.21,39.54,9.96,39.24,8.28
2280,38.05,6.05,38.85,12.58,39.67,10.97,39.37,9.29
2281,38.17,6.83,38.98,13.85,39.81,11.99,39.50,10.18
2282,38.30,7.73,39.10,15.57,39.94,13.07,39.63,11.21
2283,38.42,8.79,39.23,17.02,40.07,14.16,39.76,12.36
2284,38.55,9.86,39.36,18.41,40.20,15.37,39.89,13.66
2285,38.67,11.18,39.49,19.88,40.33,16.56,40.02,14.94
2286,38.80,12.49,39.61,21.39,40.47,17.80,40.15,16.17
2287,38.92,13.87,39.74,22.87,40.60,18.89,40.29,17.40
2288,39.05,15.26,39.87,24.25,40.73,20.06,40.42,18.78
2289,39.17,16.71,40.00,25.76,40.86,21.13,40.55,20.16
2290,39.30,18.07,40.13,27.13,41.00,22.07,40.68,21.49
2291,39.43,19.52,40.25,28.03,41.13,22.95,40.81,22.62
2292,39.55,20.92,40.38,28.94,41.26,23.72,40.95,23.63
2293,39.68,22.19,40.51,29.48,41.40,24.15,41.08,24.49
2294,39.81,23.34,40.64,29.92,41.53,24.52,41.21,25.15
2295,39.93,24.43,40.77,30.11,41.66,24.70,41.34,25.76
2296,40.06,25.64,40.90,30.25,41.80,24.79,41.48,26.28
2297,40.19,26.76,41.03,30.33,41.93,24.77,41.61,26.65
2298,40.31,27.56,41.16,30.00,42.07,24.64,41.74,26.87
2299,40.44,28.29,41.29,29.72,42.20,24.37,41.88,26.85
2300,40.57,28.79,41.42,28.98,42.33,23.90,42.01,26.64
2301,40.70,29.00,41.55,28.17,42.47,23.29,42.14,26.38
2302,40.82,28.99,41.68,27.29,42.60,22.56,42.28,26.10
2303,40.95,28.77,41.81,26.22,42.74,21.86,42.41,25.48
2304,41.08,28.52,41.94,25.24,42.87,20.86,42.55,24.72
2305,41.21,28.02,42.07,23.91,43.01,19.85,42.68,23.81
2306,41.34,27.53,42.20,22.43,43.14,18.83,42.82,22.91
2307,41.47,26.91,42.33,21.11,43.28,17.63,42.95,21.91
2308,41.60,26.12,42.46,19.86,43.42,16.61,43.09,20.86
2309,41.72,25.22,42.59,18.66,43.55,15.50,43.22,19.80
2310,41.85,24.28,42.72,17.26,43.69,14.48,43.36,18.75
2311,41.98,23.16,42.85,16.05,43.82,13.49,43.49,17.61
2312,42.11,21.99,42.98,14.82,43.96,12.38,43.63,16.43
2313,42.24,20.80,43.12,13.73,44.10,11.37,43.76,15.33
2314,42.37,19.54,43.25,12.59,44.23,10.34,43.90,14.13
2315,42.50,18.25,43.38,11.62,44.37,9.37,44.03,13.05
2316,42.63,16.93,43.51,10.50,44.51,8.61,44.17,12.06
2317,42.76,15.66,43.64,9.54,44.65,7.76,44.31,11.01
2318,42.89,14.55,43.78,8.57,44.78,6.98,44.44,9.99
2319,43.02,13.22,43.91,7.70,44.92,6.17,44.58,9.00
2320,43.15,12.11,44.04,6.89,45.06,5.55,44.72,8.14
2321,43.28,10.92,44.17,6.12,45.20,4.94,44.85,7.24
2322,43.41,9.92,44.31,5.40,45.33,4.39,44.99,6.37
2323,43.55,8.96,44.44,4.79,45.47,3.82,45.13,5.71
2324,43.68,8.00,44.57,4.26,45.61,3.40,45.27,5.08
2325,43.81,7.19,44.71,3.70,45.75,2.95,45.40,4.50
2326,43.94,6.37,44.84,3.27,45.89,2.64,45.54,3.87
2327,44.07,5.74,44.98,2.77,46.03,2.26,45.68,3.38
2328,44.20,5.09,45.11,2.44,46.17,1.92,45.82,3.03
2329,44.34,4.56,45.24,2.11,46.31,1.68,45.96,2.66
2330,44.47,4.03,45.38,1.82,46.45,1.49,46.10,2.31
2331,44.60,3.56,45.51,1.54,46.58,1.33,46.23,2.04
2332,44.73,3.14,45.65,1.33,46.72,1.12,46.37,1.72
2333,44.87,2.69,45.78,1.15,46.86,0.96,46.51,1.44
2334,45.00,2.31,45.92,0.97,47.00,0.88,46.65,1.25
2335,45.13,2.01,46.05,0.82,47.14,0.78,46.79,1.06
2336,45.26,1.79,46.19,0.78,47.28,0.68,46.93,0.94
2337,45.40,1.57,46.32,0.69,47.43,0.60,47.07,0.81
2338,45.53,1.44,46.46,0.63,47.57,0.50,47.21,0.76
2339,45.66,1.26,46.59,0.57,47.71,0.45,47.35,0.69
2340,45.80,1.12,46.73,0.47,47.85,0.42,47.49,0.61
2341,45.93,0.95,46.87,0.38,47.99,0.40,47.63,0.51
2342,46.07,0.79,47.00,0.38,48.13,0.35,47.77,0.43
2343,46.20,0.68,47.14,0.34,48.27,0.33,47.91,0.39
2344,46.33,0.59,47.27,0.32,48.41,0.31,48.05,0.35
2345,46.47,0.47,47.41,0.25,48.56,0.31,48.19,0.30
2346,46.60,0.39,47.55,0.26,48.70,0.27,48.33,0.22
2347,46.74,0.33,47.68,0.19,48.84,0.24,48.47,0.20
2348,46.87,0.27,47.82,0.14,48.98,0.19,48.62,0.23
2349,47.01,0.24,47.96,0.15,49.12,0.19,48.76,0.21
2350,47.14,0.18,48.10,0.19,49.27,0.13,48.90,0.15
2351,47.28,0.19,48.23,0.16,49.41,0.10,49.04,0.13
2352,47.41,0.15,48.37,0.13,49.55,0.12,49.18,0.11
2353,47.55,0.17,48.51,0.11,49.70,0.15,49.33,0.11
2354,47.68,0.12,48.65,0.12,49.84,0.12,49.47,0.11
2355,47.82,0.11,48.79,0.12,49.98,0.11,49.61,0.10
2356,47.96,0.16,48.92,0.12,50.13,0.13,49.75,0.08
2357,48.09,0.13,49.06,0.12,50.27,0.07,49.90,0.08
2358,48.23,0.12,49.20,0.18,50.41,0.06,50.04,0.05
2359,48.37,0.12,49.34,0.16,50.56,0.03,50.18,0.07
2360,48.50,0.14,49.48,0.14,50.70,0.02,50.33,0.07
2361,48.64,0.19,49.62,0.14,50.85,0.03,50.47,0.05
2362,48.78,0.21,49.76,0.14,50.99,0.01,50.61,0.02
2363,48.91,0.21,49.90,0.14,51.14,0.00,50.76,0.04
2364,49.05,0.16,50.04,0.14,51.28,0.00,50.90,0.01
2365,49.19,0.14,50.18,0.14,51.43,0.00,51.04,0.03
2366,49.33,0.12,50.31,0.14,51.57,0.03,51.19,0.03
2367,49.46,0.12,50.45,0.14,51.72,0.03,51.33,0.04
2368,49.60,0.12,50.59,0.15,51.86,0.00,51.48,0.04
2369,49.74,0.14,50.74,0.16,52.01,0.04,51.62,0.04
2370,49.88,0.10,50.88,0.21,52.15,0.05,51.77,0.00
2371,50.02,0.08,51.02,0.18,52.30,0.10,51.91,0.00
2372,50.15,0.07,51.16,0.19,52.45,0.05,52.06,0.00
2373,50.29,0.05,51.30,0.12,52.59,0.06,52.20,0.00
2374,50.43,0.06,51.44,0.18,52.74,0.04,52.35,0.05
2375,50.57,0.05,51.58,0.13,52.89,0.05,52.50,0.04
2376,50.71,0.03,51.72,0.09,53.03,0.05,52.64,0.04
2377,50.85,0.04,51.86,0.12,53.18,0.04,52.79,0.00
2378,50.99,0.03,52.00,0.13,53.33,0.06,52.93,0.02
2379,51.13,0.04,52.15,0.18,53.47,0.05,53.08,0.00
2380,51.27,0.03,52.29,0.14,53.62,0.03,53.23,0.00
2381,51.41,0.05,52.43,0.13,53.77,0.04,53.37,0.00
2382,51.55,0.03,52.57,0.12,53.92,0.05,53.52,0.00
2383,51.69,0.05,52.72,0.11,54.06,0.04,53.67,0.00
2384,51.83,0.05,52.86,0.09,54.21,0.00,53.81,0.02
2385,51.97,0.04,53.00,0.10,54.36,0.02,53.96,0.03
2386,52.11,0.06,53.14,0.08,54.51,0.02,54.11,0.00
2387,52.25,0.06,53.29,0.09,54.66,0.00,54.26,0.01
2388,52.39,0.04,53.43,0.07,54.81,0.00,54.41,0.01
2389,52.53,0.06,53.57,0.06,54.96,0.00,54.55,0.00
2390,52.67,0.06,53.72,0.08,55.11,0.00,54.70,0.02
2391,52.81,0.04,53.86,0.07,55.25,0.00,54.85,0.00
2392,52.96,0.06,54.00,0.08,55.40,0.00,55.00,0.00
2393,53.10,0.05,54.15,0.07,55.55,0.00,55.15,0.00
2394,53.24,0.04,54.29,0.03,55.70,0.00,55.30,0.00
2395,53.38,0.02,54.44,0.06,55.85,0.00,55.44,0.00
2396,53.52,0.03,54.58,0.05,56.00,0.00,55.59,0.00
2397,53.67,0.00,54.73,0.05,56.15,0.01,55.74,0.00
2398,53.81,0.01,54.87,0.05,56.30,0.01,55.89,0.01
2399,53.95,0.03,55.02,0.05,56.45,0.00,56.04,0.01
2400,54.09,0.01,55.16,0.07,56.61,0.00,56.19,0.01
2401,54.24,0.07,55.31,0.06,56.76,0.00,56.34,0.01
2402,54.38,0.04,55.45,0.06,56.91,0.00,56.49,0.00
2403,54.52,0.01,55.60,0.06,57.06,0.00,56.64,0.00
2404,54.67,0.00,55.74,0.06,57.21,0.00,56.79,0.00
2405,54.81,0.00,55.89,0.09,57.36,0.00,56.94,0.00
2406,54.95,0.02,56.03,0.10,57.51,0.00,57.09,0.02
2407,55.10,0.04,56.18,0.09,57.67,0.00,57.25,0.02
2408,55.24,0.04,56.33,0.07,57.82,0.00,57.40,0.02
2409,55.38,0.03,56.47,0.02,57.97,0.00,57.55,0.01
2410,55.53,0.04,56.62,0.00,58.12,0.00,57.70,0.01
2411,55.67,0.03,56.77,0.00,58.27,0.00,57.85,0.00
2412,55.82,0.04,56.91,0.00,58.43,0.00,58.00,0.00
2413,55.96,0.03,57.06,0.00,58.58,0.00,58.15,0.01
2414,56.11,0.04,57.21,0.03,58.73,0.00,58.31,0.00
2415,56.25,0.03,57.35,0.01,58.89,0.00,58.46,0.04
2416,56.40,0.00,57.50,0.03,59.04,0.00,58.61,0.03
2417,56.54,0.02,57.65,0.05,59.19,0.00,58.76,0.04
2418,56.69,0.00,57.80,0.09,59.35,0.00,58.92,0.00
2419,56.83,0.02,57.95,0.09,59.50,0.00,59.07,0.00
2420,56.98,0.02,58.09,0.14,59.65,0.00,59.22,0.00
2421,57.12,0.00,58.24,0.08,59.81,0.00,59.38,0.00
2422,57.27,0.00,58.39,0.04,59.96,0.01,59.53,0.00
2423,57.42,0.02,58.54,0.01,60.12,0.00,59.68,0.03
2424,57.56,0.01,58.69,0.02,60.27,0.00,59.84,0.02
2425,57.71,0.04,58.84,0.06,60.43,0.00,59.99,0.01
2426,57.86,0.03,58.99,0.08,60.58,0.00,60.14,0.00
2427,58.00,0.04,59.13,0.08,60.74,0.00,60.30,0.00
2428,58.15,0.04,59.28,0.05,60.89,0.00,60.45,0.00
2429,58.30,0.01,59.43,0.04,61.05,0.00,60.61,0.00
2430,58.44,0.04,59.58,0.03,61.20,0.00,60.76,0.00
2431,58.59,0.03,59.73,0.02,61.36,0.00,60.92,0.00
2432,58.74,0.04,59.88,0.00,61.52,0.00,61.07,0.00
2433,58.89,0.04,60.03,0.01,61.67,0.00,61.23,0.00
2434,59.03,0.03,60.18,0.07,61.83,0.00,61.38,0.00
2435,59.18,0.01,60.33,0.07,61.98,0.01,61.54,0.00
2436,59.33,0.00,60.48,0.05,62.14,0.00,61.69,0.00
2437,59.48,0.00,60.64,0.04,62.30,0.01,61.85,0.00
2438,59.63,0.01,60.79,0.03,62.45,0.00,62.00,0.02
2439,59.78,0.01,60.94,0.02,62.61,0.00,62.16,0.00
2440,59.93,0.03,61.09,0.00,62.77,0.00,62.32,0.01
2441,60.07,0.02,61.24,0.02,62.93,0.00,62.47,0.00
2442,60.22,0.04,61.39,0.05,63.08,0.00,62.63,0.00
2443,60.37,0.03,61.54,0.04,63.24,0.00,62.79,0.03
2444,60.52,0.05,61.69,0.02,63.40,0.00,62.94,0.06
2445,60.67,0.05,61.85,0.00,63.56,0.00,63.10,0.05
2446,60.82,0.08,62.00,0.01,63.72,0.00,63.26,0.01
2447,60.97,0.09,62.15,0.00,63.87,0.00,63.41,0.01
2448,61.12,0.12,62.30,0.00,64.03,0.00,63.57,0.02
2449,61.27,0.08,62.46,0.00,64.19,0.00,63.73,0.00
2450,61.42,0.08,62.61,0.00,64.35,0.00,63.89,0.00
2451,61.57,0.08,62.76,0.00,64.51,0.00,64.05,0.00
2452,61.72,0.09,62.91,0.00,64.67,0.00,64.20,0.00
2453,61.87,0.09,63.07,0.00,64.83,0.00,64.36,0.00
2454,62.02,0.07,63.22,0.00,64.99,0.00,64.52,0.00
2455,62.17,0.09,63.37,0.00,65.15,0.00,64.68,0.00
2456,62.33,0.13,63.53,0.02,65.31,0.00,64.84,0.00
2457,62.48,0.08,63.68,0.03,65.47,0.00,65.00,0.00
2458,62.63,0.05,63.84,0.03,65.63,0.00,65.16,0.00
2459,62.78,0.02,63.99,0.03,65.79,0.00,65.32,0.00
2460,62.93,0.01,64.14,0.07,65.95,0.00,65.48,0.00
2461,63.08,0.01,64.30,0.12,66.11,0.00,65.64,0.00
2462,63.24,0.00,64.45,0.07,66.27,0.00,65.80,0.00
2463,63.39,0.00,64.61,0.07,66.43,0.00,65.96,0.00
2464,63.54,0.02,64.76,0.03,66.59,0.00,66.12,0.00
2465,63.69,0.02,64.92,0.04,66.75,0.01,66.28,0.00
2466,63.85,0.07,65.07,0.02,66.91,0.04,66.44,0.00
2467,64.00,0.01,65.23,0.01,67.08,0.05,66.60,0.02
2468,64.15,0.01,65.38,0.03,67.24,0.05,66.76,0.02
2469,64.30,0.01,65.54,0.05,67.40,0.04,66.92,0.02
2470,64.46,0.03,65.70,0.04,67.56,0.03,67.08,0.03
2471,64.61,0.01,65.85,0.05,67.72,0.00,67.24,0.04
2472,64.76,0.02,66.01,0.08,67.89,0.00,67.40,0.01
2473,64.92,0.00,66.16,0.07,68.05,0.00,67.56,0.02
2474,65.07,0.00,66.32,0.08,68.21,0.02,67.73,0.02
2475,65.23,0.01,66.48,0.10,68.37,0.00,67.89,0.02
2476,65.38,0.00,66.63,0.11,68.54,0.02,68.05,0.01
2477,65.53,0.02,66.79,0.10,68.70,0.02,68.21,0.04
2478,65.69,0.00,66.95,0.07,68.86,0.00,68.37,0.03
2479,65.84,0.01,67.10,0.07,69.03,0.00,68.54,0.02
2480,66.00,0.01,67.26,0.08,69.19,0.01,68.70,0.07
2481,66.15,0.03,67.42,0.07,69.36,0.01,68.86,0.07
2482,66.31,0.00,67.58,0.08,69.52,0.00,69.03,0.03
2483,66.46,0.00,67.73,0.08,69.68,0.00,69.19,0.05
2484,66.62,0.03,67.89,0.05,69.85,0.01,69.35,0.08
2485,66.78,0.03,68.05,0.03,70.01,0.00,69.52,0.08
2486,66.93,0.05,68.21,0.00,70.18,0.00,69.68,0.07
2487,67.09,0.06,68.37,0.00,70.34,0.00,69.84,0.05
2488,67.24,0.06,68.53,0.04,70.51,0.00,70.01,0.03
2489,67.40,0.06,68.68,0.02,70.67,0.00,70.17,0.05
2490,67.56,0.04,68.84,0.00,70.84,0.00,70.34,0.06
2491,67.71,0.02,69.00,0.02,71.00,0.00,70.50,0.08
2492,67.87,0.02,69.16,0.03,71.17,0.00,70.66,0.08
2493,68.02,0.03,69.32,0.03,71.34,0.00,70.83,0.07
2494,68.18,0.02,69.48,0.03,71.50,0.00,70.99,0.01
2495,68.34,0.02,69.64,0.03,71.67,0.00,71.16,0.00
2496,68.50,0.02,69.80,0.03,71.83,0.00,71.32,0.03
2497,68.65,0.04,69.96,0.03,72.00,0.00,71.49,0.05
2498,68.81,0.04,70.12,0.13,72.17,0.01,71.66,0.02
2499,68.97,0.02,70.28,0.10,72.33,0.01,71.82,0.01
2500,69.13,0.01,70.44,0.06,72.50,0.00,71.99,0.04
2501,69.28,0.02,70.60,0.03,72.67,0.00,72.15,0.00
2502,69.44,0.04,70.76,0.03,72.84,0.00,72.32,0.00
2503,69.60,0.03,70.92,0.01,73.00,0.00,72.49,0.00
2504,69.76,0.04,71.08,0.05,73.17,0.00,72.65,0.01
2505,69.92,0.03,71.24,0.03,73.34,0.00,72.82,0.01
2506,70.08,0.00,71.41,0.02,73.51,0.00,72.99,0.02
2507,70.24,0.00,71.57,0.01,73.67,0.00,73.15,0.02
2508,70.39,0.00,71.73,0.05,73.84,0.00,73.32,0.01
2509,70.55,0.00,71.89,0.03,74.01,0.00,73.49,0.00
2510,70.71,0.01,72.05,0.01,74.18,0.00,73.66,0.00
2511,70.87,0.04,72.22,0.00,74.32,0.00,73.82,0.00
2512,71.03,0.05,72.38,0.01,74.47,0.02,73.99,0.01
2513,71.19,0.06,72.54,0.01,74.61,0.03,74.16,0.02
2514,71.35,0.07,72.70,0.00,74.76,0.06,74.30,0.03
2515,71.51,0.07,72.86,0.03,74.90,0.00,74.45,0.04
2516,71.67,0.05,73.03,0.00,75.05,0.01,74.59,0.05
2517,71.83,0.06,73.19,0.00,75.20,0.02,74.74,0.06
2518,71.99,0.06,73.35,0.02,75.34,0.01,74.88,0.05
2519,72.15,0.04,73.52,0.02,75.49,0.03,75.03,0.06
2520,72.31,0.00,73.68,0.03,75.64,0.04,75.17,0.04
2521,72.48,0.00,73.84,0.00,75.78,0.04,75.32,0.02
2522,72.64,0.00,74.01,0.00,75.93,0.02,75.47,0.01
2523,72.80,0.01,74.17,0.00,76.08,0.04,75.61,0.04
2524,72.96,0.00,74.31,0.01,76.22,0.05,75.76,0.07
2525,73.12,0.00,74.45,0.00,76.37,0.05,75.91,0.08
2526,73.28,0.00,74.59,0.00,76.52,0.05,76.05,0.09
2527,73.44,0.00,74.74,0.00,76.67,0.05,76.20,0.08
2528,73.61,0.00,74.88,0.00,76.82,0.04,76.35,0.10
2529,73.77,0.04,75.02,0.04,76.97,0.03,76.49,0.09
2530,73.93,0.06,75.16,0.02,77.11,0.02,76.64,0.06
2531,74.09,0.07,75.30,0.04,77.26,0.00,76.79,0.06
2532,74.24,0.07,75.45,0.07,77.41,0.00,76.94,0.06
2533,74.38,0.06,75.59,0.07,77.56,0.01,77.09,0.06
2534,74.52,0.01,75.73,0.05,77.71,0.01,77.24,0.09
2535,74.66,0.00,75.87,0.00,77.86,0.00,77.38,0.09
2536,74.80,0.02,76.02,0.00,78.01,0.00,77.53,0.08
2537,74.94,0.00,76.16,0.00,78.16,0.02,77.68,0.04
2538,75.08,0.00,76.30,0.00,78.31,0.02,77.83,0.00
2539,75.23,0.00,76.45,0.00,78.46,0.05,77.98,0.00
2540,75.37,0.00,76.59,0.00,78.62,0.09,78.13,0.00
2541,75.51,0.00,76.74,0.00,78.77,0.05,78.28,0.00
2542,75.65,0.00,76.88,0.03,78.92,0.00,78.43,0.03
2543,75.79,0.01,77.03,0.06,79.07,0.00,78.58,0.01
2544,75.93,0.04,77.17,0.06,79.22,0.00,78.73,0.03
2545,76.07,0.05,77.32,0.08,79.37,0.02,78.88,0.04
2546,76.22,0.04,77.46,0.09,79.53,0.02,79.03,0.06
2547,76.36,0.06,77.61,0.08,79.68,0.01,79.19,0.09
2548,76.50,0.07,77.75,0.08,79.83,0.02,79.34,0.09
2549,76.65,0.06,77.90,0.10,79.98,0.03,79.49,0.09
2550,76.79,0.04,78.04,0.09,80.14,0.01,79.64,0.06
2551,76.93,0.04,78.19,0.10,80.29,0.03,79.79,0.05
2552,77.08,0.02,78.34,0.09,80.44,0.03,79.94,0.05
2553,77.22,0.00,78.48,0.07,80.60,0.04,80.10,0.04
2554,77.36,0.00,78.63,0.05,80.75,0.04,80.25,0.02
2555,77.51,0.00,78.78,0.04,80.91,0.04,80.40,0.04
2556,77.65,0.00,78.92,0.05,81.06,0.04,80.56,0.07
2557,77.80,0.00,79.07,0.03,81.21,0.03,80.71,0.06
2558,77.94,0.00,79.22,0.07,81.37,0.04,80.86,0.05
2559,78.09,0.03,79.37,0.07,81.52,0.04,81.02,0.06
2560,78.23,0.04,79.51,0.04,81.68,0.04,81.17,0.09
2561,78.38,0.04,79.66,0.02,81.83,0.03,81.32,0.12
2562,78.52,0.01,79.81,0.04,81.99,0.01,81.48,0.06
2563,78.67,0.02,79.96,0.04,82.15,0.00,81.63,0.04
2564,78.81,0.02,80.11,0.04,82.30,0.00,81.79,0.03
2565,78.96,0.05,80.26,0.05,82.46,0.00,81.94,0.01
2566,79.10,0.06,80.41,0.09,82.61,0.02,82.10,0.03
2567,79.25,0.06,80.56,0.09,82.77,0.03,82.25,0.00
2568,79.40,0.03,80.71,0.09,82.93,0.04,82.41,0.00
2569,79.54,0.02,80.86,0.06,83.09,0.06,82.57,0.00
2570,79.69,0.04,81.01,0.05,83.24,0.07,82.72,0.04
2571,79.84,0.02,81.16,0.05,83.40,0.12,82.88,0.05
2572,79.99,0.00,81.31,0.05,83.56,0.13,83.03,0.02
2573,80.13,0.01,81.46,0.07,83.72,0.08,83.19,0.00
2574,80.28,0.04,81.61,0.06,83.87,0.04,83.35,0.02
2575,80.43,0.03,81.76,0.08,84.03,0.00,83.51,0.03
2576,80.58,0.01,81.91,0.06,84.19,0.03,83.66,0.06
2577,80.73,0.00,82.06,0.06,84.35,0.03,83.82,0.05
2578,80.87,0.00,82.21,0.05,84.51,0.01,83.98,0.06
