Index,(2)A1:Size (bp),(2)A1:Intensity (mV),(3)B1:Size (bp),(3)B1:Intensity (mV),(4)C1:Size (bp),(4)C1:Intensity (mV),(5)D1:Size (bp),(5)D1:Intensity (mV)
90,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
91,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00
92,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
93,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00
94,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00
95,0.00,0.05,0.00,0.00,0.00,0.06,0.00,0.00
96,0.00,0.01,0.00,0.00,0.00,0.03,0.00,0.00
97,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.00
98,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.00
99,0.00,0.00,0.00,0.03,0.00,0.01,0.00,0.00
100,0.00,0.00,0.00,0.04,0.00,0.00,0.00,0.00
101,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.04
102,0.00,0.00,0.00,0.02,0.00,0.01,0.00,0.04
103,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.10
104,0.00,0.00,0.00,0.10,0.00,0.01,0.00,0.03
105,0.00,0.00,0.00,0.06,0.00,0.02,0.00,0.00
106,0.00,0.00,0.00,0.01,0.00,0.02,0.00,0.00
107,0.00,0.00,0.00,0.02,0.00,0.03,0.00,0.00
108,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.00
109,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.00
110,0.00,0.00,0.00,0.01,0.00,0.06,0.00,0.00
111,0.00,0.00,0.00,0.02,0.00,0.06,0.00,0.02
112,0.00,0.00,0.00,0.01,0.00,0.04,0.00,0.05
113,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.04
114,0.00,0.00,0.00,0.02,0.00,0.07,0.00,0.03
115,0.00,0.00,0.00,0.03,0.00,0.07,0.00,0.03
116,0.00,0.00,0.00,0.04,0.00,0.06,0.00,0.02
117,0.00,0.00,0.00,0.09,0.00,0.02,0.00,0.06
118,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.05
119,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.07
120,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.05
121,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.03
122,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.07
123,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.06
124,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.08
125,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.07
126,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.05
127,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.04
128,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.02
129,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.05
130,0.00,0.00,0.00,0.02,0.00,0.00,0.00,0.03
131,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.05
132,0.00,0.00,0.00,0.06,0.00,0.00,0.00,0.03
133,0.00,0.00,0.00,0.05,0.00,0.01,0.00,0.02
134,0.00,0.02,0.00,0.00,0.00,0.04,0.00,0.06
135,0.00,0.03,0.00,0.01,0.00,0.03,0.00,0.04
136,0.00,0.07,0.00,0.02,0.00,0.04,0.00,0.05
137,0.00,0.04,0.00,0.03,0.00,0.07,0.00,0.02
138,0.00,0.03,0.00,0.04,0.00,0.09,0.00,0.00
139,0.00,0.02,0.00,0.02,0.00,0.10,0.00,0.00
140,0.00,0.02,0.00,0.05,0.00,0.10,0.00,0.00
141,0.00,0.00,0.00,0.05,0.00,0.09,0.00,0.00
142,0.00,0.00,0.00,0.00,0.00,0.09,0.00,0.00
143,0.00,0.01,0.00,0.01,0.00,0.08,0.00,0.00
144,0.00,0.01,0.00,0.02,0.00,0.05,0.00,0.05
145,0.00,0.06,0.00,0.04,0.00,0.04,0.00,0.07
146,0.00,0.02,0.00,0.04,0.00,0.04,0.00,0.07
147,0.00,0.01,0.00,0.02,0.00,0.00,0.00,0.09
148,0.00,0.02,0.00,0.01,0.00,0.01,0.00,0.09
149,0.00,0.01,0.00,0.00,0.00,0.01,0.00,0.07
150,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05
151,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05
152,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.05
153,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.05
154,0.00,0.00,0.00,0.07,0.00,0.01,0.00,0.05
155,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.07
156,0.00,0.00,0.00,0.13,0.00,0.00,0.00,0.03
157,0.00,0.00,0.00,0.08,0.00,0.00,0.00,0.07
158,0.00,0.00,0.00,0.05,0.00,0.00,0.00,0.09
159,0.00,0.00,0.00,0.01,0.00,0.00,0.00,0.08
160,0.00,0.00,0.00,0.01,0.00,0.01,0.00,0.04
161,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.02
162,0.00,0.00,0.00,0.07,0.00,0.03,0.00,0.04
163,0.00,0.00,0.00,0.07,0.00,0.04,0.00,0.00
164,0.00,0.00,0.00,0.04,0.00,0.06,0.00,0.00
165,0.00,0.00,0.00,0.03,0.00,0.04,0.00,0.03
166,0.00,0.00,0.00,0.03,0.00,0.05,0.00,0.07
167,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.08
168,0.00,0.00,0.00,0.03,0.00,0.06,0.00,0.07
169,0.00,0.00,0.00,0.04,0.00,0.06,0.00,0.04
170,0.00,0.00,0.00,0.05,0.00,0.03,0.00,0.04
171,0.00,0.00,0.00,0.07,0.00,0.03,0.00,0.05
172,0.00,0.00,0.00,0.06,0.00,0.04,0.00,0.06
173,0.00,0.00,0.00,0.06,0.00,0.05,0.00,0.08
174,0.00,0.00,0.00,0.02,0.00,0.05,0.00,0.08
175,0.00,0.00,0.00,0.03,0.00,0.03,0.00,0.07
176,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.06
177,0.00,0.00,0.00,0.04,0.00,0.01,0.00,0.07
178,0.00,0.00,0.00,0.00,0.00,0.04,0.00,0.05
179,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.05
180,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.05
181,0.00,0.00,0.00,0.03,0.00,0.00,0.00,0.06
182,0.00,0.00,0.00,0.01,0.00,0.03,0.00,0.05
183,0.00,0.00,0.00,0.03,0.00,0.02,0.00,0.03
184,0.00,0.00,0.00,0.06,0.00,0.01,0.00,0.00
185,0.00,0.00,0.00,0.07,0.00,0.01,0.00,0.03
186,0.00,0.00,0.00,0.10,0.00,0.00,0.00,0.03
187,0.00,0.00,0.00,0.11,0.00,0.04,0.00,0.02
188,0.00,0.00,0.00,0.10,0.00,0.03,0.00,0.04
189,0.00,0.00,0.00,0.08,0.00,0.05,0.00,0.06
190,0.00,0.00,0.00,0.08,0.00,0.03,0.00,0.07
191,0.00,0.00,0.00,0.09,0.00,0.04,0.00,0.07
192,0.00,0.00,0.00,0.07,0.00,0.07,0.00,0.03
193,0.00,0.01,0.00,0.08,0.00,0.08,0.00,0.04
194,0.00,0.02,0.00,0.07,0.00,0.14,0.00,0.00
195,0.00,0.03,0.00,0.08,0.00,0.18,0.00,0.01
196,0.00,0.03,0.00,0.06,0.00,0.17,0.00,0.01
197,0.00,0.02,0.00,0.03,0.00,0.11,0.00,0.00
198,0.00,0.01,0.00,0.05,0.00,0.07,0.00,0.02
199,0.00,0.00,0.00,0.05,0.00,0.05,0.00,0.03
200,0.00,0.00,0.00,0.03,0.00,0.05,0.00,0.05
201,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.03
202,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.00
203,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.00
204,0.00,0.00,0.00,0.03,0.00,0.05,0.00,0.03
205,0.00,0.01,0.00,0.01,0.00,0.07,0.00,0.02
206,0.00,0.01,0.00,0.04,0.00,0.07,0.00,0.01
207,0.00,0.02,0.00,0.07,0.00,0.07,0.00,0.04
208,0.00,0.01,0.00,0.08,0.00,0.04,0.00,0.03
