geno,plate,pos
Col,7,G2
Col,7,H7
Col,3,G1
Col,3,H10
Col,12,D2
Col,5,F7
Col,6,F7
Col,2,D12
Col,11,C6
Col,4,G1
Col,10,B2
Col,9,H4
Col,11,D6
Col,5,G2
Ler,3,D1
Ler,6,B4
Ler,2,C7
Ler,8,C4
Ler,2,D10
Ler,9,B7
Ler,12,C8
Ler,4,D1
Ler,7,D12
Ler,5,B12
Ler,11,F9
Ler,12,F1
Ler,10,C7
Ler,10,A4
Cvi,6,D2
Cvi,9,B9
Cvi,8,F8
Cvi,8,G3
Cvi,11,F5
Cvi,8,B5
Cvi,9,B4
Cvi,12,E1
Cvi,6,D7
Cvi,2,H2
Cvi,2,E4
Cvi,11,C8
Cvi,8,E7
Cvi,6,A10
Col,8,B9
Col,4,H10
