TrID,TrayNotes,TrayTypeName,Position,PlantID,PlantName,PlantNotes
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,D1,2430,44:17x21_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,D2,2373,25:136x102_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,D3,2511,71:54x183_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,D4,2409,37:156x106_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00003,0,standard,D5,2505,69:51x111_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,A1,2445,49:187x69_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,A2,2439,47:180x157_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,A3,2433,45:171x143_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,A4,2565,89:Spare2_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,A5,2343,15:118x108_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,B1,2550,84:pgr5_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,B2,2568,90:Spare3_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,B3,2523,75:61x162_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,B4,2469,57:15x9_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,B5,2355,0,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,C1,2463,55:20x138_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,C2,2331,11:114x3_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,C3,2556,86:Cvi-1_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,C4,2460,54:192x189_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,C5,2475,59:33x58_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,D1,2313,5:101x176_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,D2,2490,64:46x29_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,D3,2412,38:119x60_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,D4,2496,66:49x158_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00004,0,standard,D5,2526,76:63x151_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,A1,2436,46:174x34_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,A2,2424,42:166x25_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,A3,2427,43:168x22_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,A4,2454,52:190x176_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,A5,2514,72:55x18_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,B1,2400,34:152x42_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,B2,2328,10:109x48_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,B3,2532,78:ler self_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,B4,2307,3:1x146_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,B5,2385,29:146x64_R2,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,C1,2389,30:147x50_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,C2,2524,75:61x162_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,C3,2509,70:51x18_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,C4,2380,27:139x36_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,C5,2473,58:26x74_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,D1,2560,87:135x142_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,D2,2488,63:45x23_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,D3,2470,57:15x9_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,D4,2374,25:136x102_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00005,0,standard,D5,2428,43:168x22_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,A1,2461,54:192x189_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,A2,2359,20:128x6_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,A3,2431,44:17x21_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,A4,2479,60:38x35_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,A5,2503,68:5x188_R3,0
Pr#2013-0012_Exp#0001_Ath_Tr#00006,0,standard,B1,2311,4:10x26_R3,0
