G1	Stn8-1
H6	Stn8-1
C4	Spare3
E5	Spare1
H2	Spare1
A10	pgr5
A3	npq4
H4	npq1
H7	lerxcvi
B12	ler self
B3	cvixler
G10	Cvi-1
F7	Col-0
G2	Col-0
C5	8x61
E11	63x151
G3	61x162
D4	55x18
E12	55x18
A1	54x183
C9	54x183
D6	51x18
G9	51x111
E7	49x158
E8	49x158
F2	49x158
B5	46x29
D3	46x29
E1	45x23
E4	45x23
B9	44x50
F3	39x27
A8	38x35
F6	38x35
G6	38x35
C3	33x58
D11	33x58
D1	24x171
A4	20x138
B10	20x138
B7	20x138
D8	20x138
D12	1x146
G4	19x173
B11	192x189
C2	192x189
C12	190x176
D5	190x176
F5	18x109
B6	187x69
H9	187x69
D9	186x27
D10	180x157
E3	17x21
G8	17x21
F11	174x34
F10	171x143
H5	16x7
A6	16x4
A12	168x22
H11	166x25
A2	165x137
A11	15x9
A5	15x9
E9	156x106
C1	153x20
H8	153x20
H3	153x108
E2	152x42
G11	152x42
H1	149x165
F4	147x69
B1	146x64
F12	146x64
A7	145x105
C8	145x105
B8	139x36
A9	136x102
C7	135x142
F8	135x10
B2	129x132
B4	122x42
G7	122x42
H10	119x60
F1	118x164
G5	118x164
C11	118x108
E10	114x3
E6	114x3
D2	112x30
C6	10x26
D7	107x121
F9	107x121
C10	101x176
