,1,2,3,4,5,6,7,8,9,10,11,12
A,5 12a3 ½,5 13a4 P,5 13d2 ½,5 14d2 ½ P,2 13a1,2 13d2 ½,2 14c2 ½,4 12c4,4 13e1,4 14e2,,
B,5 12a4,5 13b1 2S,5 13e2,5 14d3 S,2 13a3,2 13e1 dam,2 14c3,4 12e3,4 13e2,4 14e3,,
C,5 12b4,5 13b2 P,5 13e4,2 12a3 ½,2 13a4,2 13e3 ½,2 14d2,4 12e4,4 13e4,,,
D,5 12d3 ½,5 13b3 P,5 14a2 P,2 12a4,2 13b1 3S,2 13e4,2 14d3 ½,4 13a2,4 14c1,,,
E,5 12d4 ½,5 13c1 ⅓ dam,5 14b1 ½,2 12b3 2x,2 13b3 ½,2 14a1,2 14e2 sq,4 13b1,4 14c3,,,
F,5 12e3,5 13c2,5 14b2 ½ dam,2 12c3 ½ sq,2 13b4 2S,2 14b2,2 14e3,4 13b2,4 14d1,,,
G,5 13a1,5 13c3 2S,5 14b3 ½ P,2 12c4,2 13c3 ½,2 14b3 sq,4 12b3,4 13c2,4 14d2,,,
H,5 13a2 P,5 13c4 ½,5 13c3 ½,2 12d4 ½,2 13d1 ½,2 14c1 ½,4 12c3,4 13d3,4 14e1,,,
