,1,2,3,4,5,6,7,8,9,10,11,12
A,5 14a2 p,5 13a1,5 13c2,5 12a3 juv,2 12b3 ½ shaded,2 13b1 2S sq,2 13e3 ½,2 14c2 ½,4 12c3 ½ sen,4 13b2 ½ sq,4 13e4 sen,4 14e2 3S
B,5 14b1 ½,5 13a2 P,5 13c3 2S,5 12a4 ½ sq,2 12b3 juv,2 13b3 ½,2 13e4 sq,2 14c3,4 12c4 ½,4 13c2,4 13e4 dam,4 14e3
C,5 14b2,5 13a4 P,5 13c4,5 12b4 ½,2 12c3,2 13b4 sq,2 13e4 juv,2 14d2,4 12e3 caul,4 13d3 sq,4 14c1,
D,5 14b3,5 13b1 2S,5 13c4 juv,5 12c3,2 12c4,2 13b4,2 14a1,2 14d3 ½,4 12e3 ½ sen,4 13e1 sq,4 14c3,
E,5 14c3,5 13b2 p,5 13d2 juv,5 12d4 ½,2 12d4 ½,2 13c3 ½,2 13b2 part shaded,2 14e2,4 12e4,4 13e1 juv,4 14d1 ½,
F,5 14d2 ½ P,5 13b3 p,5 13d2 p sen,5 12e2,2 13a1,2 13d1 ½,2 14b2 juv,2 14e3 sq,4 13a2 ½,4 13e2 outer ½,4 14d2,
G,5 14d3 C,5 13b3 P juv,5 12e2,2 12a3 sq,2 13a3,2 13d2 ½,2 14b3,2 14e3,4 13b1 juv,4 13e2 inner ½ of same leaf,4 14e1 juv,
H,5 14d3 P,5 13c1,5 12e4 ½,2 12a4,2 13a4,2 13e1,2 14c1,4 12e3 2Juv,4 13b1,4 14e4 2Juv,4 14e1 v.sen,
