D4	Stn8-1
E3	Spare2
C7	pgr5
B5	npq1
D8	npq1
D1	LL-1
A2	lerxcvi
A9	lerxcvi
B9	lerxcvi
F9	ler self
B3	ler
H1	cvixler
F5	cvi self
G8	cvi self
F1	Cvi-1
C6	Col-0
D6	Col-0
E6	6x131
E9	63x151
A4	61x162
F6	5x188
A3	5x172
C8	5x172
C5	59x116
H7	59x116
D2	54x183
G5	54x183
H5	54x183
D9	51x18
F8	49x158
B6	48x160
G3	33x58
H3	33x58
D3	24x171
C9	192x189
D5	192x189
B2	191x31
H6	190x176
E1	18x109
E2	186x27
E4	186x27
A8	180x157
C2	165x137
B4	15x9
A1	153x20
H2	153x108
C3	152x42
G4	150x37
G7	14x4
F3	149x165
A7	147x50
B8	146x64
F4	146x64
C1	139x36
C4	136x102
F2	136x102
G2	135x142
H4	134x29
H8	134x29
E8	12x142
F7	125x117
B1	118x164
G6	118x164
A6	118x108
G1	110x32
D7	10x26
E5	10x26
E7	109x48
B7	107x121
A5	101x176
