,1,2,3,4,5,6,7,8,9,10,11,12
A,2 8a1,2 8c2,2 9A1,2 9b4,2 9e1 C,4 8b3 2S,4 9a3,4 9e3,5 8d1,5 9a3,5 9d2,
B,2 8a2 sq,2 8c3 ½L,2 9a2,2 9c1 ½,2 9e2,4 8b4,4 9b3,5 8a3,5 8d2,5 9a4,5 9d3,
C,2 8a3,2 8c4 2S sq,2 10c1,2 9c3 ½,2 9e3 C,4 8c1,4 9b4,5 8b1,5 8d3 2S,5 10b1 a1,5 9d4 C,
D,2 8a4,2 8d1 2S,2 10b1,2 9c4 2S,2 9e4,4 8c4 C,4 10a1 2S,5 8b2 ½,5 8e2 ½,5 10e1 2S,5 10d1 2S sq,
E,2 8b1 sq 3S,2 8d2 ½L,2 9b1,2 9d1,4 8a1 ½,4 8d1 2S,4 9c3 ½,5 8b3 C,5 8e3,5 9b4,5 9e2,
F,2 8b2 2S,2 8d4,2 10a1,2 9d2,4 8a3,4 8e1,4 9d1 2S,5 8b4 ½,5 8e4 2S,5 10c1,5 9e3 2C,
G,2 8b4 2S,2 8e1 ½,2 10d1 ½,2 9d3 sq,4 8b1 sq,4 10e1 ½ sq,4 9d4,5 8c2,5 9a1 sq,5 9c3,5 9e4,
H,2 8c1,2 8e3 2S,2 9b4 ½,2 9d4,4 8b2,4 9a2 3S,4 9e1,5 8c4 2S,5 9a2,5 9d1,,
