,1,2,3,4,5,6,7,8,9,10,11,12
A,2 1a1,2 1c1 S ???,2 1e4,2 2c3,5 1a1,5 1c3,5 2a2 Pur,5 3c1,5 2e4,4 1d1,4 3b1,4 3e1 M
B,2 1b1,2 1c3,2 3b1,2 3d1,5 1b1,5 1c4,5 3a3,5 2c4,4 1a1,4 1d2,4 2b2 sq,4 2d3
C,2 1a3 sen,2 1d1 S,2 2a3,2 2d2,5 1a3,5 1d3,5 2a4 L,5 2d1,4 1a2 CL,4 1d4 L,4 2b3 sq,4 2d3
D,2 1b4,2 1d2 L,2 2a4,2 3e1,5 1a4,5 1d4,5 2b1,5 2d3,4 1a3,4 1e1 L,4 2b4 2S,4 2d4
E,2 1b2 L,2 1d3 L,2 2b2 L,2 2e1,5 1a2,5 1e1,5 2b2,5 2d4 sq,4 1b1,4 1e3,4 2c1,4 3a1
F,2 1b3 S,2 1e1,2 2b3,2 2e2,5 1b2,5 1e2,5 3b1,5 2e1,4 1b2 CL,4 1e4,4 2c3 sq,4 3d1 sq
G,2 1c4 L,2 1e2,2 2b4,2 2e3,5 1b4,5 1e3,5 3b4,5 3e1,4 1b4,4 2a1 L,4 2c4,4 2e4 sq
H,2 1c1,2 1e3,2 2c1,2 2e4,5 1c1,5 2a1,5 2c1,5 3d1,4 1c1 2S,4 2a3 basal ½,4 2d1,4 3c1 sq
