,1,2,3,4,5,6,7,8,9,10,11,12
A,4 4a1,4 4b4,4 3b3,4 3e3 2S,5 3b3,5 4a1 P,5 4c4 S,5 4e4 2S,2 4a2 2S,2 4d2 sq,2 3b4 2S,2 5a2
B,4 4a2 sen,4 4e1,4 5e1 2S sen,4 5e1 sq,5 3b4 P,5 4a2,5 4d1 ½,5 5a1,2 4a3 2S,2 4d3 sq,2 3c2 ½ sen,2 5b1 S
C,4 4a3 sq,4 4e2,4 5b1,4 5e2 ½,5 3c3 P,5 4a3 ½,5 4d2 3S sq,5 5c1,2 4a4 2S,2 4e1,2 3c4 2S,2 5c1
D,4 4a4,4 3c2,4 5b2,5 3a2 sq,5 3d2 2S,5 4b1,5 4d3,5 5c2 ½,2 4b1 ½,2 4e3,2 3d3 ½,2 5c2
E,4 4b3 sq,4 3a3,4 3c4,5 3a3 sq sen,5 3d4 sq,5 4b2,5 4d3 P ?,5 5d1,2 4b3,2 4e4,2 3d4 ½shaded,2 5d1
F,4 4b4 sq,4 3a4 sq,4 5c2,5 3a3 2S,5 3e2 ½,5 4b4,5 4d4 P,5 5d2 ½,2 4c1,2 3b2 sq ½,2 3e2 wounded,2 5d2
G,4 4b2,4 5a1,4 5d1,5 3b2,5 3e3 ½ sq,5 4c1 P,5 4e2 caul,5 5e2 ½,2 4c2,2 3a3,2 3e4,2 5e1
H,4 4b3 sq,4 5a2 ½ sq,4 5d2,?,5 3e4 2S,5 4c3,5 4e3 sq,2 4a1,2 4c4 ½,2 3a4,2 5a1 ½,2 5e2 3S
